Data;Amostra;As;Cd;Co;Cr;Mn;Ni;Pb;Fe-diss;Fe-tot;Al-diss;Al-tot
05/12/15;M2;0,018;0,005;0,005;<LD;0,41;0,02;<LD;0,046;0,47;0,03;0,15
06/12/15;J1;0,04;0,007;0,007;<LD;1,94;0,02;<LD;0,042;3,12;<0.02;1,56
06/12/15;J2;0,05;<0.001;<LD;0,14;5,29;0,014;0,029;0,037;66,3;<0.02;10,97
06/12/15;J3;0,11;0,005;0,006;<LD;0,96;0,06;<LD;0,038;15,83;0,042;4,58
06/12/15;J4;<LD;0,003;0,004;0,04;2,19;0,04;0,013;0,103;31,1;<0.02;6,53
07/12/15;J5;<LD;0,004;0,004;<LD;1,2;0,06;0,01;0,071;23,96;<0.02;5,66
07/12/15;J10;<LD;<0.001;<LD;0,16;2,6;0,04;<LD;0,079;93,74;0,026;15,77
07/12/15;J11;<LD;0,004;0,005;<LD;1,21;0,05;<LD;0,043;25,49;<0.02;8,6
08/12/15;J12;0,04;0,003;0,004;0,04;1,26;0,05;0,015;0,141;15,86;0,03;6,05
08/12/15;J13;0,03;0,004;0,004;0,07;1,06;0,06;<LD;0,27;26,37;0,21;20,54
08/12/15;J14;0,01;0,007;0,007;<LD;0,11;0,04;<LD;-;4,4;-;6
08/12/15;J15;0,014;0,005;0,006;<LD;0,1;0,07;<LD;0,058;3,77;<0.02;3,19
09/12/15;J16;0,072;0,005;0,005;<LD;0,24;0,06;<LD;0,05;4,68;0,051;3,5
09/12/15;J17;0,02;0,007;0,007;<LD;0,16;0,05;<LD;-;4,28;-;4,16
