ID amostras;Referência;Coordenada Geográfica (UTM);;Data
M2;Rio Gualaxo do Norte em Bento Rodrigues;-20,27638884;-43,43115158;30/04/16
J1;Rio do Carmo à montante do encontro com rio Gualaxo do Norte;-20,34691667;-43,29602778;30/04/16
J2;Rio Gualaxo do Norte (Paracatu de Baixo-MG);-20,30644669;-43,22620446;31/04/2016
J3;Rio do Carmo à jusante do Rio Gualaxo do Norte (Barra Longa-MG);-20,29086032;-43,05447547;31/04/2016
C1;Rio Piranga (MG);-20,37005555;-42,89536111;01/04/16
J4;Rio Doce no município de Rio Doce (MG);-20,24780556;-42,886;01/04/16
C2;Rio Piracicaba (MG);-19,50922222;-42,54141944;02/04/16
J5;Rio Doce BR262 entre os municípios de Rio Doce e Ipatinga (MG);-20,019819;-42,744726;01/04/16
J10;Rio Doce em de Ipatinga (MG);-19,47686111;-42,47597222;02/04/16
C3;Rio Santo Antônio (MG);-19,234464;-42,320847;02/04/16
J11;Rio Doce em de Naque (MG);-19,23683333;-42,30808333;02/04/16
J12;Rio Doce em Governador Valadares (MG);-18,88313342;-41,95099862;03/04/16
J13;Rio Doce na cidade de Galiléia (MG);-19,0065;-41,54252778;03/04/16
J14;Rio Doce no município de Baixo Guandu (ES)/Aimorés (MG);-19,50714964;-41,01518824;03/04/16
C4;Rio Guandu (ES);-19,518058;-41,014178;04/04/16
J15;Rio Doce na cidade de Colatina (ES);-19,51063889;-40,55491667;05/04/16
J16;Rio Doce em Linhares (ES) na fazenda Maria Bonita;-19,48075;-39,92561111;05/04/16
J17;Foz do Rio Doce no distrito de Regência (ES);-19,64458499;-39,82405361;06/04/16
